ingredients,Refuse (%),Water (g),Energy (Kcal),Protein (g),Fat (g),Ash (g),Fiber (g),Carboyhdrates (g),Sodium (mg),Potassium (mg),Calcium (mg),Phosphorus (mg),Magnesium (mg),Iron (mg),Zinc (mg),Copper (mg),Vitamin A ugRE,Vitamin C (mg),Thiamin (mg),Riboflavin (mg),category
Beef  lung,0,79.5,88.0,17.1,2.2,1.2,0.0,0.0,50,218,10.0,204,12.0,5.8,2.4,0.04,46,0,0.07,0.28,meat
Beef  meat,0,67.4,186.0,19.6,11.9,1.1,0.0,0.0,72,375,15.0,171,22.0,3.4,4.8,0.1,5,0,0.07,0.11,meat
Beef  meat ground,0,65.0,216.0,18.0,16.0,1.0,0.0,0.0,69,210,14.0,180,17.0,2.7,4.0,0.11,0,0,0.0,0.0,meat
Beef  meat (Kofta  fried),0,60.0,245.0,17.5,18.1,1.3,0.2,2.9,418,155,12.0,196,0.0,2.5,0.95,0.0,0,0,0.0,0.0,meat
Beef  meat (Kofta  grilled),0,52.0,271.0,21.2,18.2,3.1,0.0,5.5,525,122,35.0,0,0.0,2.43,2.75,0.0,0,0,0.0,0.0,meat
Beef  meat (Kofta/rice),0,70.0,149.0,10.6,7.0,0.8,0.6,11.0,418,122,20.0,122,0.0,1.7,1.9,0.09,0,0,0.0,0.0,meat
Beef  meat (Kubeba  fried),0,48.2,237.0,11.5,8.8,2.8,0.7,28.0,628,290,9.0,0,17.0,2.5,1.8,0.14,0,0,0.0,0.0,meat
Beef meat (brown sauce),0,72.1,159.0,14.0,11.0,1.7,0.3,0.9,412,315,20.0,155,0.0,1.6,2.2,0.0,0,0,0.0,0.0,meat
Beef  sausage,0,50.0,312.0,15.0,24.0,2.0,0.0,9.0,810,175,35.0,172,16.0,1.4,1.6,0.16,0,0,0.05,0.11,meat
Beef  sausage grilled,0,48.0,291.0,17.0,18.5,2.5,0.0,14.0,1090,180,45.0,210,17.0,1.8,1.7,0.26,0,0,0.0,0.0,meat
Beef  spleen,0,77.0,97.0,18.0,2.1,1.4,0.0,1.5,108,415,9.0,218,11.0,10.6,2.4,0.12,0,0,0.12,0.34,meat
Beef  tongue,0,67.0,201.0,16.8,14.6,1.0,0.0,0.6,88,304,10.0,174,12.0,4.6,3.1,0.05,0,0,0.12,0.28,meat
Beef  tongue boiled,11,52.0,298.0,23.4,22.1,1.2,0.0,1.3,124,131,25.0,201,16.0,3.0,2.0,0.0,0,0,0.0,0.0,meat
Buffalo  meat,0,65.4,210.0,18.8,15.0,0.8,0.0,0.0,63,370,25.0,180,30.0,4.2,3.6,0.24,0,0,0.21,0.35,meat
Camel  liver,0,68.0,143.0,20.7,4.4,1.7,0.0,5.2,37,150,35.0,0,13.0,7.0,2.2,0.9,0,0,0.0,0.0,meat
Camel  meat,0,76.2,108.0,19.0,3.6,1.2,0.0,0.0,187,347,15.0,160,12.0,7.8,8.2,1.22,8,0,0.38,0.76,meat
Chicken  frankfurter,0,59.5,221.0,18.1,15.0,3.0,1.1,3.3,995,258,18.0,164,0.0,1.75,1.87,0.0,0,0,0.0,0.0,meat
Chicken  gizzard,0,75.0,106.0,20.5,2.3,1.5,0.0,0.7,65,240,10.0,105,1.0,2.9,0.0,0.0,0,0,0.02,0.2,meat
Chicken  liver,0,73.6,122.0,17.6,4.6,1.7,0.0,2.5,45,166,20.0,240,13.0,10.5,3.5,0.5,7500,20,0.35,2.8,meat
Chicken  boiled,30,65.2,193.0,21.6,11.7,1.2,0.0,0.3,91,206,14.0,190,26.0,2.3,2.1,0.0,0,0,0.0,0.0,meat
Chicken  fried,0,46.8,316.0,22.4,22.2,2.0,0.0,6.6,540,348,15.0,0,0.0,1.23,1.37,0.0,0,0,0.0,0.0,meat
Chicken  grilled,40,63.0,213.0,21.2,13.8,1.1,0.0,0.9,86,311,16.0,180,25.0,2.0,2.2,0.0,0,0,0.0,0.0,meat
Chicken  meat (dark),0,75.1,121.0,19.0,5.0,0.9,0.0,0.0,67,250,12.0,186,17.0,1.6,2.12,0.0,0,0,0.0,0.0,meat
Chicken  meat (light),0,75.6,109.0,20.5,3.0,0.9,0.0,0.0,58,330,11.0,214,19.0,1.1,0.69,0.0,0,0,0.0,0.0,meat
Chicken  meat and skin,36,65.6,214.0,17.4,16.0,1.0,0.0,0.0,77,340,11.0,194,20.0,1.6,2.0,0.15,22,0,0.13,0.18,meat
Duck  meat and skin,32,55.2,315.0,15.4,28.2,1.2,0.0,0.0,90,312,12.0,194,18.0,2.4,2.9,0.35,0,0,0.08,0.25,meat
Goat  meat,0,70.3,165.0,18.4,10.2,1.1,0.0,0.0,53,286,12.0,150,14.0,2.3,2.4,0.08,0,0,0.18,0.26,meat
Goose  meat and skin,30,51.5,346.0,16.0,31.3,1.2,0.0,0.0,80,440,18.0,190,25.0,1.5,1.7,0.26,21,0,0.08,0.25,meat
Lamb  kidneys,0,78.0,109.0,16.0,5.0,1.0,0.0,0.0,168,217,10.0,245,12.0,8.4,2.5,0.42,100,8,0.0,0.0,meat
Lamb  liver,0,70.7,126.0,19.9,2.8,1.4,0.0,5.2,63,257,4.0,354,12.0,9.4,3.99,1.4,12000,10,0.0,0.0,meat
Lamb   meat,0,62.2,249.0,16.5,20.3,1.0,0.0,0.0,65,300,15.0,163,15.0,2.5,2.7,0.6,9,0,0.12,0.19,meat
 Lamb   meat ( Kabab ),0,52.8,273.0,23.0,19.3,3.1,0.0,1.8,505,383,22.0,220,32.0,3.0,3.1,0.0,0,0,0.0,0.0,meat
Pigeon   meat and skin,25,59.6,251.0,20.0,19.0,1.4,0.0,0.0,58,275,27.0,276,20.0,2.2,2.4,0.31,0,0,0.1,0.18,meat
Rabbit   meat,36,72.4,133.0,20.7,5.6,1.3,0.0,0.0,72,345,15.0,234,30.0,1.6,1.6,0.22,5,0,0.08,0.16,meat
Turkey   meat and skin,30,70.4,151.0,21.0,7.4,1.2,0.0,0.0,70,321,15.0,220,20.0,0.99,1.6,0.18,0,0,0.11,0.12,meat
Veal   meat,0,75.1,123.0,18.7,5.4,0.8,0.0,0.0,103,372,10.0,253,27.0,2.0,2.6,0.03,3,0,0.1,0.2,meat
Bream,49,76.5,100.0,19.4,2.4,1.4,0.0,0.3,55,180,127.0,101,55.0,1.21,0.4,0.21,21,0,0.02,0.14,fish
Bream   golden,32,79.4,79.0,17.6,1.0,2.0,0.0,0.0,64,215,128.0,186,33.0,0.94,1.0,0.18,18,0,0.16,0.15,fish
Catfish   bayad,36,77.4,102.0,18.7,3.0,0.9,0.0,0.0,62,155,116.0,318,60.0,1.05,0.6,0.23,13,2,0.1,0.21,fish
Catfish   river,57,80.5,81.0,16.4,15.0,1.1,0.0,0.5,92,174,75.0,177,43.0,1.02,0.8,0.24,17,0,0.05,0.2,fish
Catfish   scaled,42,75.8,112.0,18.1,4.0,1.3,0.0,0.8,90,158,103.0,340,58.0,1.01,1.1,0.24,10,2,0.11,0.12,fish
